"","TeamPage","Rank","Name","Games","Wins","Losses","Ties","PointsFor","PointsAgainst","HE","SD","FE","SE"
"36","https://www.curlingzone.com/team.php?teamid=136758&profileid=&view=OOM&OOMweek=37#1",36,"Corey Chambers","48","30","18",NA,"7.69","6.06","0.38","0.22","0.6","0.24"
"37","https://www.curlingzone.com/team.php?teamid=136223&profileid=&view=OOM&OOMweek=37#1",37,"Jacques Gauthier","77","52","25",NA,"7.74","6.25","0.44","0.21","0.59","0.29"
"38","https://www.curlingzone.com/team.php?teamid=134034&profileid=&view=OOM&OOMweek=37#1",38,"Tsuyoshi Yamaguchi","67","44","22","1","8.17","5.87","0.42","0.16","0.52","0.3"
"39","https://www.curlingzone.com/team.php?teamid=135112&profileid=&view=OOM&OOMweek=37#1",39,"Vincent Roberge","38","27","11",NA,"8.54","6.25","0.33","0.19","0.44","0.35"
"40","https://www.curlingzone.com/team.php?teamid=134060&profileid=&view=OOM&OOMweek=37#1",40,"Yusuke Morozumi","52","30","22",NA,"8.72","6.48","0.44","0.16","0.51","0.31"
"41","https://www.curlingzone.com/team.php?teamid=134129&profileid=&view=OOM&OOMweek=37#1",41,"Lucien Lottenbach","66","36","30",NA,"7.79","6.91","0.37","0.23","0.57","0.23"
"42","https://www.curlingzone.com/team.php?teamid=134895&profileid=&view=OOM&OOMweek=37#1",42,"Qiang Zou","63","36","27",NA,"8.43","6.3","0.4","0.21","0.54","0.32"
"43","https://www.curlingzone.com/team.php?teamid=133982&profileid=&view=OOM&OOMweek=37#1",43,"Jan Hess","70","35","35",NA,"7.3","7.22","0.31","0.27","0.55","0.28"
"44","https://www.curlingzone.com/team.php?teamid=134490&profileid=&view=OOM&OOMweek=37#1",44,"Sergei Glukhov","73","35","38",NA,"7.23","7.35","0.37","0.25","0.49","0.23"
"45","https://www.curlingzone.com/team.php?teamid=136335&profileid=&view=OOM&OOMweek=37#1",45,"Jim Cotter","59","36","23",NA,"7.31","6.07","0.34","0.23","0.55","0.34"
