,TeamName,WinningPct,Pythag1,Wins,Wins1,Delta
41,Qiang Zou,0.571,0.642,36,40.4,-4.399999999999999
42,Jan Hess,0.5,0.506,35,35.4,-0.3999999999999986
43,Sergei Glukhov,0.479,0.492,35,35.9,-0.8999999999999986
44,Jim Cotter,0.61,0.592,36,34.9,1.1000000000000014
45,Sean Grassie,0.574,0.505,35,30.8,4.199999999999999
46,Jason Jacobson,0.6,0.578,30,28.9,1.1000000000000014
47,Mark Kean,0.51,0.504,26,25.7,0.3000000000000007
48,JT Ryan,0.592,0.614,29,30.1,-1.1000000000000014
49,Ryan Wiebe,0.717,0.678,33,31.2,1.8000000000000007
50,Dominik Maerki,0.6,0.587,30,29.3,0.6999999999999993
51,Shaun Meachem,0.622,0.609,28,27.4,0.6000000000000014
52,Scott Dunnam,0.632,0.634,36,36.1,-0.10000000000000142
53,James Pahl,0.742,0.593,23,18.4,4.600000000000001
54,Wayne Tuck Jr.,0.636,0.667,7,7.3,-0.2999999999999998
55,Dennis Bohn,0.571,0.62,24,26.0,-2.0
56,William Lyburn,0.574,0.556,27,26.1,0.8999999999999986
57,Chad Stevens,0.587,0.548,27,25.2,1.8000000000000007
58,Todd Birr,0.527,0.525,29,28.9,0.10000000000000142
59,Magnus Ramsfjell,0.625,0.62,20,19.8,0.1999999999999993
60,Aaron Sluchinski,0.667,0.585,22,19.3,2.6999999999999993
61,Lukas Klima,0.591,0.615,26,27.1,-1.1000000000000014
62,Ty Dilello,0.46,0.474,23,23.7,-0.6999999999999993
63,Luc Violette,0.614,0.591,35,33.7,1.2999999999999972
64,Stuart Thompson,0.531,0.539,26,26.4,-0.3999999999999986
65,Brent Gedak,0.628,0.643,27,27.6,-0.6000000000000014
66,James Grattan,0.634,0.611,26,25.1,0.8999999999999986
67,Martin Ferland,0.553,0.52,21,19.8,1.1999999999999993
68,Jason Camm,0.6,0.581,27,26.1,0.8999999999999986
69,Andrin Schnider,0.361,0.381,22,23.2,-1.1999999999999993
70,Jeff Richard,0.553,0.609,26,28.6,-2.6000000000000014
71,John Willsey,0.481,0.5,25,26.0,-1.0
72,Ted Appelman,0.636,0.616,21,20.3,0.6999999999999993
73,Carter Lautner,0.59,0.508,23,19.8,3.1999999999999993
74,Kody Hartung,0.523,0.498,23,21.9,1.1000000000000014
75,Daniel Magnusson,0.538,0.485,28,25.2,2.8000000000000007
76,Kendal Thompson,0.54,0.514,27,25.7,1.3000000000000007
77,Scott Jones,0.615,0.574,24,22.4,1.6000000000000014
78,Sean Geall,0.537,0.552,22,22.6,-0.6000000000000014
79,Jed Brundidge,0.451,0.475,23,24.2,-1.1999999999999993
80,Simon Gempeler,0.482,0.495,27,27.7,-0.6999999999999993
81,Fredrik Nyman,0.467,0.458,21,20.6,0.3999999999999986
